Course,Sem1,Sem2
Business Analytics,"['MA1521', 'CS1010S', 'MA2001', 'BT1101', 'IS1103']","['CS2030', 'BT2103', 'IS2101', 'BT2101', 'BT2102']"
Computer Science,"['ES2660', 'CS1231S', 'MA1521', 'IS1103', 'CS1101S']","['CS2040S', 'CS2106', 'MA2001', 'CS2101', 'CS2100']"
Computer Engineering,"['CS1231', 'MA1512', 'MA1508E', 'CS1010', 'CG1111A']","['CG2023', 'CG2111A', 'CS2040C', 'CG2271', 'CG2028']"
Information Security,"['MA1521', 'IS1103', 'CS1231S', 'CS1010', 'MA2001']","['CS2106', 'CS2100', 'CS2040C', 'CS2105', 'CS2101']"
Information Systems,"['CS1010J', 'ST2334', 'BT1101', 'IS1103', 'MA1521']","['IS2102', 'IS2103', 'BT2102', 'CS2040', 'CS2030']"
Business Analytics,"['MA2001', 'MA1521', 'BT1101', 'CS1010S', 'IS1103']","['BT2102', 'BT2101', 'BT2103', 'IS2101', 'CS2030']"
Computer Science,"['IS1103', 'MA1521', 'ES2660', 'CS1231S', 'CS1101S']","['CS2040S', 'CS2101', 'MA2001', 'CS2030S', 'CS2106']"
Computer Engineering,"['CS1231', 'MA1511', 'CS1010', 'MA1512', 'CG1111A']","['CS2113', 'CG2271', 'CG2111A', 'CS2040C', 'CG2023']"
Information Security,"['MA1521', 'MA2001', 'CS1231S', 'IS1103', 'CS1010']","['CS2040C', 'CS2106', 'CS2105', 'CS2100', 'CS2101']"
Information Systems,"['IS1103', 'ST2334', 'CS1010J', 'BT1101', 'MA1521']","['IS2101', 'CS2030', 'BT2102', 'CS2040', 'IS2103']"
Business Analytics,"['BT1101', 'CS1010S', 'IS1103', 'MA1521', 'MA2001']","['CS2040', 'BT2102', 'BT2101', 'CS2030', 'BT2103']"
Computer Science,"['ES2660', 'CS1101S', 'CS1231S', 'IS1103', 'MA1521']","['CS2106', 'MA2001', 'CS2040S', 'CS2101', 'CS2100']"
Computer Engineering,"['MA1508E', 'CS1231', 'MA1512', 'CS1010', 'MA1511']","['CG2271', 'CS2040C', 'CG2023', 'CS2113', 'CG2111A']"
Information Security,"['CS1231S', 'IS1103', 'CS1010', 'MA1521', 'MA2001']","['CS2106', 'CS2105', 'CS2100', 'CS2040C', 'CS2101']"
Information Systems,"['MA1521', 'CS1010J', 'BT1101', 'IS1103', 'ST2334']","['IS2101', 'BT2102', 'IS2103', 'CS2030', 'IS2102']"
Business Analytics,"['MA1521', 'MA2001', 'IS1103', 'BT1101', 'CS1010S']","['IS2101', 'BT2102', 'CS2040', 'BT2101', 'CS2030']"
Computer Science,"['CS1231S', 'IS1103', 'MA1521', 'CS1101S', 'ES2660']","['CS2100', 'CS2106', 'CS2040S', 'CS2101', 'MA2001']"
Computer Engineering,"['CG1111A', 'CS1010', 'CS1231', 'MA1508E', 'MA1511']","['CG2271', 'CG2111A', 'CG2023', 'CS2113', 'CS2040C']"
Information Security,"['CS1231S', 'CS1010', 'MA1521', 'IS1103', 'MA2001']","['CS2106', 'CS2100', 'CS2040C', 'CS2101', 'CS2105']"
Information Systems,"['CS1010J', 'MA1521', 'IS1103', 'BT1101', 'ST2334']","['IS2103', 'BT2102', 'CS2030', 'IS2101', 'IS2102']"
Business Analytics,"['BT1101', 'MA2001', 'IS1103', 'CS1010S', 'MA1521']","['CS2030', 'BT2101', 'BT2102', 'IS2101', 'CS2040']"
Computer Science,"['MA1521', 'IS1103', 'CS1101S', 'CS1231S', 'ES2660']","['CS2030S', 'CS2100', 'CS2040S', 'CS2106', 'CS2101']"
Computer Engineering,"['CS1010', 'CG1111A', 'MA1511', 'MA1512', 'MA1508E']","['CG2271', 'CS2113', 'CS2040C', 'CG2023', 'CG2028']"
Information Security,"['MA1521', 'CS1010', 'IS1103', 'CS1231S', 'MA2001']","['CS2105', 'CS2106', 'CS2100', 'CS2040C', 'CS2101']"
Information Systems,"['IS1103', 'MA1521', 'CS1010J', 'BT1101', 'ST2334']","['IS2102', 'IS2103', 'IS2101', 'BT2102', 'CS2040']"
Business Analytics,"['MA1521', 'CS1010S', 'MA2001', 'IS1103', 'BT1101']","['CS2040', 'IS2101', 'CS2030', 'BT2102', 'BT2101']"
Computer Science,"['MA1521', 'ES2660', 'IS1103', 'CS1231S', 'CS1101S']","['CS2100', 'MA2001', 'CS2030S', 'CS2040S', 'CS2101']"
Computer Engineering,"['CS1231', 'CG1111A', 'MA1508E', 'MA1511', 'CS1010']","['CS2113', 'CG2271', 'CS2040C', 'CG2023', 'CG2111A']"
Information Security,"['CS1010', 'MA1521', 'MA2001', 'CS1231S', 'IS1103']","['CS2040C', 'CS2100', 'CS2101', 'CS2106', 'CS2105']"
Information Systems,"['ST2334', 'BT1101', 'CS1010J', 'MA1521', 'IS1103']","['IS2102', 'CS2030', 'IS2103', 'IS2101', 'BT2102']"
Business Analytics,"['CS1010S', 'MA1521', 'MA2001', 'BT1101', 'IS1103']","['CS2040', 'BT2103', 'CS2030', 'IS2101', 'BT2101']"
Computer Science,"['CS1101S', 'MA1521', 'CS1231S', 'IS1103', 'ES2660']","['CS2040S', 'CS2106', 'CS2100', 'MA2001', 'CS2101']"
Computer Engineering,"['CS1231', 'CS1010', 'MA1508E', 'MA1512', 'CG1111A']","['CG2028', 'CG2023', 'CG2111A', 'CS2113', 'CG2271']"
Information Security,"['MA1521', 'IS1103', 'MA2001', 'CS1010', 'CS1231S']","['CS2040C', 'CS2100', 'CS2106', 'CS2105', 'CS2101']"
Information Systems,"['BT1101', 'CS1010J', 'IS1103', 'MA1521', 'ST2334']","['IS2102', 'IS2103', 'CS2030', 'CS2040', 'IS2101']"
Business Analytics,"['IS1103', 'BT1101', 'MA1521', 'CS1010S', 'MA2001']","['CS2030', 'CS2040', 'BT2102', 'BT2103', 'BT2101']"
Computer Science,"['CS1101S', 'IS1103', 'CS1231S', 'MA1521', 'ES2660']","['CS2101', 'CS2106', 'CS2100', 'CS2040S', 'CS2030S']"
Computer Engineering,"['CS1010', 'CG1111A', 'MA1508E', 'CS1231', 'MA1512']","['CS2113', 'CG2028', 'CS2040C', 'CG2271', 'CG2111A']"
Information Security,"['MA2001', 'MA1521', 'IS1103', 'CS1010', 'CS1231S']","['CS2105', 'CS2106', 'CS2040C', 'CS2101', 'CS2100']"
Information Systems,"['CS1010J', 'BT1101', 'ST2334', 'IS1103', 'MA1521']","['IS2102', 'CS2040', 'IS2103', 'CS2030', 'BT2102']"
Business Analytics,"['BT1101', 'CS1010S', 'MA2001', 'MA1521', 'IS1103']","['BT2103', 'CS2030', 'IS2101', 'CS2040', 'BT2101']"
Computer Science,"['IS1103', 'CS1231S', 'CS1101S', 'MA1521', 'ES2660']","['CS2100', 'CS2030S', 'CS2040S', 'MA2001', 'CS2101']"
Computer Engineering,"['CS1231', 'MA1512', 'CG1111A', 'MA1511', 'CS1010']","['CS2040C', 'CS2113', 'CG2028', 'CG2023', 'CG2271']"
Information Security,"['IS1103', 'MA2001', 'MA1521', 'CS1231S', 'CS1010']","['CS2100', 'CS2101', 'CS2106', 'CS2105', 'CS2040C']"
Information Systems,"['MA1521', 'IS1103', 'ST2334', 'BT1101', 'CS1010J']","['IS2102', 'IS2103', 'IS2101', 'CS2030', 'CS2040']"
Business Analytics,"['MA1521', 'IS1103', 'MA2001', 'BT1101', 'CS1010S']","['CS2040', 'BT2103', 'IS2101', 'CS2030', 'BT2101']"
Computer Science,"['IS1103', 'ES2660', 'MA1521', 'CS1231S', 'CS1101S']","['CS2100', 'CS2101', 'CS2106', 'CS2030S', 'MA2001']"
Computer Engineering,"['CS1010', 'MA1512', 'CS1231', 'MA1511', 'MA1508E']","['CS2113', 'CG2111A', 'CG2271', 'CS2040C', 'CG2023']"
Information Security,"['MA1521', 'MA2001', 'CS1010', 'IS1103', 'CS1231S']","['CS2105', 'CS2100', 'CS2101', 'CS2106', 'CS2040C']"
Information Systems,"['CS1010J', 'IS1103', 'BT1101', 'MA1521', 'ST2334']","['IS2102', 'IS2103', 'CS2040', 'BT2102', 'IS2101']"
Business Analytics,"['CS1010S', 'BT1101', 'MA1521', 'MA2001', 'IS1103']","['CS2040', 'BT2103', 'BT2102', 'CS2030', 'IS2101']"
Computer Science,"['CS1231S', 'ES2660', 'IS1103', 'MA1521', 'CS1101S']","['CS2101', 'CS2106', 'CS2040S', 'CS2030S', 'MA2001']"
Computer Engineering,"['MA1512', 'MA1511', 'CG1111A', 'CS1231', 'MA1508E']","['CG2111A', 'CG2028', 'CS2040C', 'CS2113', 'CG2271']"
Information Security,"['CS1010', 'CS1231S', 'IS1103', 'MA2001', 'MA1521']","['CS2105', 'CS2101', 'CS2100', 'CS2106', 'CS2040C']"
Information Systems,"['MA1521', 'ST2334', 'IS1103', 'BT1101', 'CS1010J']","['IS2103', 'IS2102', 'BT2102', 'IS2101', 'CS2030']"
Business Analytics,"['BT1101', 'MA2001', 'IS1103', 'CS1010S', 'MA1521']","['BT2101', 'BT2103', 'CS2030', 'CS2040', 'BT2102']"
Computer Science,"['CS1101S', 'MA1521', 'CS1231S', 'IS1103', 'ES2660']","['CS2100', 'MA2001', 'CS2040S', 'CS2101', 'CS2030S']"
Computer Engineering,"['MA1508E', 'MA1511', 'MA1512', 'CG1111A', 'CS1010']","['CG2023', 'CG2111A', 'CS2113', 'CG2271', 'CS2040C']"
Information Security,"['CS1010', 'MA1521', 'CS1231S', 'MA2001', 'IS1103']","['CS2040C', 'CS2100', 'CS2101', 'CS2106', 'CS2105']"
Information Systems,"['CS1010J', 'MA1521', 'ST2334', 'BT1101', 'IS1103']","['CS2030', 'IS2102', 'CS2040', 'IS2101', 'IS2103']"
Business Analytics,"['IS1103', 'CS1010S', 'MA2001', 'MA1521', 'BT1101']","['BT2101', 'BT2102', 'BT2103', 'CS2030', 'CS2040']"
Computer Science,"['CS1101S', 'ES2660', 'IS1103', 'CS1231S', 'MA1521']","['MA2001', 'CS2040S', 'CS2106', 'CS2100', 'CS2101']"
Computer Engineering,"['CS1010', 'CG1111A', 'CS1231', 'MA1511', 'MA1508E']","['CG2271', 'CS2040C', 'CG2111A', 'CS2113', 'CG2028']"
Information Security,"['MA2001', 'MA1521', 'CS1231S', 'CS1010', 'IS1103']","['CS2106', 'CS2101', 'CS2105', 'CS2040C', 'CS2100']"
Information Systems,"['IS1103', 'MA1521', 'CS1010J', 'ST2334', 'BT1101']","['IS2102', 'CS2040', 'IS2101', 'BT2102', 'CS2030']"
Business Analytics,"['BT1101', 'MA2001', 'IS1103', 'MA1521', 'CS1010S']","['BT2102', 'CS2030', 'CS2040', 'IS2101', 'BT2103']"
Computer Science,"['IS1103', 'ES2660', 'CS1101S', 'CS1231S', 'MA1521']","['CS2101', 'CS2106', 'MA2001', 'CS2030S', 'CS2100']"
Computer Engineering,"['CS1231', 'MA1511', 'MA1512', 'CS1010', 'CG1111A']","['CG2028', 'CG2271', 'CG2023', 'CG2111A', 'CS2040C']"
Information Security,"['CS1231S', 'MA1521', 'MA2001', 'CS1010', 'IS1103']","['CS2106', 'CS2100', 'CS2040C', 'CS2105', 'CS2101']"
Information Systems,"['IS1103', 'CS1010J', 'ST2334', 'MA1521', 'BT1101']","['CS2030', 'IS2101', 'IS2103', 'BT2102', 'CS2040']"
Business Analytics,"['MA1521', 'BT1101', 'IS1103', 'CS1010S', 'MA2001']","['CS2040', 'CS2030', 'BT2103', 'BT2102', 'IS2101']"
Computer Science,"['IS1103', 'CS1101S', 'ES2660', 'MA1521', 'CS1231S']","['CS2106', 'CS2100', 'CS2030S', 'CS2040S', 'MA2001']"
Computer Engineering,"['CS1231', 'MA1512', 'CS1010', 'MA1511', 'MA1508E']","['CG2271', 'CG2028', 'CS2040C', 'CS2113', 'CG2023']"
Information Security,"['MA2001', 'MA1521', 'CS1010', 'CS1231S', 'IS1103']","['CS2100', 'CS2040C', 'CS2105', 'CS2106', 'CS2101']"
Information Systems,"['IS1103', 'ST2334', 'CS1010J', 'BT1101', 'MA1521']","['CS2030', 'CS2040', 'BT2102', 'IS2101', 'IS2102']"
Business Analytics,"['CS1010S', 'MA1521', 'BT1101', 'MA2001', 'IS1103']","['IS2101', 'CS2030', 'BT2101', 'CS2040', 'BT2103']"
Computer Science,"['ES2660', 'MA1521', 'CS1101S', 'CS1231S', 'IS1103']","['MA2001', 'CS2101', 'CS2100', 'CS2106', 'CS2030S']"
Computer Engineering,"['CG1111A', 'MA1511', 'CS1231', 'MA1512', 'CS1010']","['CS2113', 'CG2023', 'CG2028', 'CG2271', 'CG2111A']"
Information Security,"['CS1231S', 'MA1521', 'CS1010', 'MA2001', 'IS1103']","['CS2101', 'CS2100', 'CS2040C', 'CS2106', 'CS2105']"
Information Systems,"['BT1101', 'ST2334', 'IS1103', 'CS1010J', 'MA1521']","['CS2030', 'IS2102', 'IS2101', 'IS2103', 'BT2102']"
Business Analytics,"['BT1101', 'CS1010S', 'MA1521', 'IS1103', 'MA2001']","['CS2030', 'BT2103', 'CS2040', 'BT2101', 'IS2101']"
Computer Science,"['CS1231S', 'CS1101S', 'IS1103', 'MA1521', 'ES2660']","['CS2101', 'CS2040S', 'CS2106', 'MA2001', 'CS2100']"
Computer Engineering,"['CG1111A', 'MA1512', 'CS1010', 'CS1231', 'MA1508E']","['CG2028', 'CG2023', 'CS2040C', 'CS2113', 'CG2111A']"
Information Security,"['MA1521', 'IS1103', 'CS1010', 'CS1231S', 'MA2001']","['CS2106', 'CS2040C', 'CS2105', 'CS2101', 'CS2100']"
Information Systems,"['BT1101', 'MA1521', 'CS1010J', 'ST2334', 'IS1103']","['BT2102', 'IS2103', 'CS2030', 'IS2102', 'IS2101']"
Business Analytics,"['BT1101', 'IS1103', 'MA1521', 'CS1010S', 'MA2001']","['CS2030', 'BT2103', 'BT2101', 'BT2102', 'IS2101']"
Computer Science,"['ES2660', 'CS1101S', 'CS1231S', 'MA1521', 'IS1103']","['CS2106', 'CS2040S', 'CS2100', 'CS2101', 'MA2001']"
Computer Engineering,"['MA1508E', 'MA1511', 'CS1010', 'CS1231', 'MA1512']","['CS2113', 'CG2111A', 'CG2028', 'CG2023', 'CG2271']"
Information Security,"['MA2001', 'IS1103', 'CS1231S', 'CS1010', 'MA1521']","['CS2106', 'CS2040C', 'CS2105', 'CS2101', 'CS2100']"
Information Systems,"['IS1103', 'CS1010J', 'BT1101', 'MA1521', 'ST2334']","['CS2030', 'CS2040', 'IS2102', 'IS2103', 'BT2102']"
Business Analytics,"['IS1103', 'MA2001', 'BT1101', 'MA1521', 'CS1010S']","['BT2103', 'IS2101', 'BT2101', 'CS2030', 'BT2102']"
Computer Science,"['ES2660', 'CS1101S', 'IS1103', 'CS1231S', 'MA1521']","['CS2040S', 'MA2001', 'CS2101', 'CS2030S', 'CS2106']"
Computer Engineering,"['MA1508E', 'CG1111A', 'MA1511', 'MA1512', 'CS1231']","['CG2111A', 'CS2113', 'CS2040C', 'CG2028', 'CG2023']"
Information Security,"['IS1103', 'MA2001', 'CS1231S', 'CS1010', 'MA1521']","['CS2040C', 'CS2106', 'CS2101', 'CS2105', 'CS2100']"
Information Systems,"['CS1010J', 'ST2334', 'MA1521', 'IS1103', 'BT1101']","['CS2040', 'BT2102', 'IS2103', 'IS2101', 'IS2102']"
Business Analytics,"['IS1103', 'BT1101', 'MA1521', 'CS1010S', 'MA2001']","['BT2102', 'BT2103', 'BT2101', 'IS2101', 'CS2040']"
Computer Science,"['IS1103', 'CS1231S', 'CS1101S', 'ES2660', 'MA1521']","['CS2100', 'MA2001', 'CS2030S', 'CS2101', 'CS2040S']"
Computer Engineering,"['MA1512', 'CS1231', 'CS1010', 'MA1511', 'CG1111A']","['CG2023', 'CS2113', 'CG2111A', 'CG2028', 'CS2040C']"
Information Security,"['MA2001', 'MA1521', 'IS1103', 'CS1010', 'CS1231S']","['CS2100', 'CS2106', 'CS2040C', 'CS2101', 'CS2105']"
Information Systems,"['BT1101', 'IS1103', 'MA1521', 'ST2334', 'CS1010J']","['BT2102', 'CS2040', 'IS2103', 'IS2102', 'IS2101']"
Business Analytics,"['MA1521', 'MA2001', 'IS1103', 'BT1101', 'CS1010S']","['BT2101', 'CS2030', 'BT2103', 'IS2101', 'CS2040']"
Computer Science,"['IS1103', 'CS1101S', 'ES2660', 'CS1231S', 'MA1521']","['CS2101', 'CS2106', 'MA2001', 'CS2030S', 'CS2100']"
Computer Engineering,"['MA1511', 'CS1231', 'MA1512', 'CS1010', 'CG1111A']","['CG2028', 'CS2113', 'CS2040C', 'CG2271', 'CG2111A']"
Information Security,"['MA1521', 'MA2001', 'CS1010', 'IS1103', 'CS1231S']","['CS2100', 'CS2101', 'CS2105', 'CS2106', 'CS2040C']"
Information Systems,"['BT1101', 'ST2334', 'CS1010J', 'IS1103', 'MA1521']","['IS2101', 'CS2040', 'CS2030', 'IS2102', 'BT2102']"
Business Analytics,"['BT1101', 'CS1010S', 'MA2001', 'MA1521', 'IS1103']","['BT2102', 'IS2101', 'CS2040', 'BT2101', 'BT2103']"
Computer Science,"['IS1103', 'CS1101S', 'ES2660', 'MA1521', 'CS1231S']","['CS2100', 'CS2101', 'CS2040S', 'CS2030S', 'CS2106']"
Computer Engineering,"['MA1512', 'CS1231', 'MA1508E', 'CG1111A', 'MA1511']","['CG2111A', 'CS2040C', 'CG2028', 'CG2271', 'CG2023']"
Information Security,"['MA2001', 'CS1231S', 'IS1103', 'MA1521', 'CS1010']","['CS2100', 'CS2040C', 'CS2101', 'CS2106', 'CS2105']"
Information Systems,"['MA1521', 'CS1010J', 'ST2334', 'IS1103', 'BT1101']","['CS2040', 'IS2101', 'CS2030', 'IS2103', 'BT2102']"
Business Analytics,"['MA2001', 'CS1010S', 'MA1521', 'BT1101', 'IS1103']","['CS2040', 'BT2103', 'IS2101', 'BT2102', 'CS2030']"
Computer Science,"['CS1101S', 'CS1231S', 'ES2660', 'IS1103', 'MA1521']","['CS2106', 'CS2100', 'CS2101', 'CS2040S', 'CS2030S']"
Computer Engineering,"['MA1508E', 'MA1512', 'CG1111A', 'CS1010', 'CS1231']","['CS2113', 'CG2271', 'CG2111A', 'CS2040C', 'CG2023']"
Information Security,"['CS1010', 'IS1103', 'MA2001', 'CS1231S', 'MA1521']","['CS2040C', 'CS2100', 'CS2106', 'CS2101', 'CS2105']"
Information Systems,"['IS1103', 'CS1010J', 'ST2334', 'BT1101', 'MA1521']","['CS2030', 'IS2101', 'IS2102', 'IS2103', 'CS2040']"
Business Analytics,"['CS1010S', 'IS1103', 'MA1521', 'MA2001', 'BT1101']","['CS2040', 'IS2101', 'CS2030', 'BT2103', 'BT2102']"
Computer Science,"['MA1521', 'ES2660', 'CS1101S', 'CS1231S', 'IS1103']","['CS2040S', 'MA2001', 'CS2030S', 'CS2106', 'CS2100']"
Computer Engineering,"['MA1508E', 'CG1111A', 'CS1010', 'CS1231', 'MA1511']","['CG2028', 'CG2271', 'CG2023', 'CS2113', 'CG2111A']"
Information Security,"['IS1103', 'CS1231S', 'CS1010', 'MA2001', 'MA1521']","['CS2101', 'CS2100', 'CS2040C', 'CS2105', 'CS2106']"
Information Systems,"['MA1521', 'IS1103', 'CS1010J', 'BT1101', 'ST2334']","['BT2102', 'IS2101', 'CS2040', 'IS2103', 'CS2030']"
Business Analytics,"['BT1101', 'IS1103', 'MA1521', 'CS1010S', 'MA2001']","['BT2103', 'BT2102', 'IS2101', 'CS2030', 'CS2040']"
Computer Science,"['CS1231S', 'IS1103', 'ES2660', 'CS1101S', 'MA1521']","['CS2030S', 'CS2100', 'MA2001', 'CS2101', 'CS2040S']"
Computer Engineering,"['MA1508E', 'CG1111A', 'CS1231', 'MA1511', 'MA1512']","['CS2113', 'CS2040C', 'CG2111A', 'CG2023', 'CG2271']"
Information Security,"['CS1010', 'CS1231S', 'MA1521', 'IS1103', 'MA2001']","['CS2101', 'CS2100', 'CS2040C', 'CS2105', 'CS2106']"
Information Systems,"['CS1010J', 'MA1521', 'IS1103', 'BT1101', 'ST2334']","['BT2102', 'IS2101', 'CS2030', 'IS2103', 'CS2040']"
Business Analytics,"['IS1103', 'BT1101', 'MA2001', 'CS1010S', 'MA1521']","['CS2030', 'BT2103', 'IS2101', 'BT2101', 'BT2102']"
Computer Science,"['MA1521', 'IS1103', 'ES2660', 'CS1231S', 'CS1101S']","['CS2101', 'MA2001', 'CS2030S', 'CS2106', 'CS2040S']"
Computer Engineering,"['CS1231', 'MA1512', 'MA1511', 'MA1508E', 'CG1111A']","['CS2113', 'CG2028', 'CS2040C', 'CG2023', 'CG2271']"
Information Security,"['CS1231S', 'IS1103', 'CS1010', 'MA2001', 'MA1521']","['CS2105', 'CS2040C', 'CS2106', 'CS2101', 'CS2100']"
Information Systems,"['MA1521', 'IS1103', 'BT1101', 'CS1010J', 'ST2334']","['CS2030', 'CS2040', 'IS2103', 'IS2101', 'BT2102']"
Business Analytics,"['BT1101', 'CS1010S', 'MA1521', 'IS1103', 'MA2001']","['CS2040', 'IS2101', 'BT2101', 'BT2103', 'BT2102']"
Computer Science,"['CS1101S', 'ES2660', 'IS1103', 'CS1231S', 'MA1521']","['CS2030S', 'CS2040S', 'CS2106', 'CS2101', 'MA2001']"
Computer Engineering,"['MA1511', 'CG1111A', 'CS1231', 'MA1512', 'MA1508E']","['CG2271', 'CS2113', 'CG2111A', 'CG2028', 'CG2023']"
Information Security,"['MA2001', 'MA1521', 'IS1103', 'CS1010', 'CS1231S']","['CS2101', 'CS2105', 'CS2106', 'CS2100', 'CS2040C']"
Information Systems,"['BT1101', 'CS1010J', 'IS1103', 'ST2334', 'MA1521']","['IS2103', 'IS2102', 'CS2040', 'BT2102', 'CS2030']"
Business Analytics,"['MA1521', 'MA2001', 'BT1101', 'CS1010S', 'IS1103']","['IS2101', 'CS2030', 'BT2103', 'CS2040', 'BT2101']"
Computer Science,"['CS1231S', 'IS1103', 'MA1521', 'CS1101S', 'ES2660']","['CS2106', 'CS2100', 'MA2001', 'CS2030S', 'CS2040S']"
